filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
bfo.basic-formal-ontology.2.owl.xml, BFO_0000002, 3,  58,3,  163,  3, 72
bfo.basic-formal-ontology.2.owl.xml, BFO_0000182, 5,  1,5,  11,  5, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000026, 7,  0,7,  4,  7, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000008, 4,  0,4,  5,  4, 5
bfo.basic-formal-ontology.2.owl.xml, BFO_0000148, 5,  0,5,  4,  5, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000028, 7,  0,7,  6,  7, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000004, 4,  1,4,  7,  4, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000017, 5,  1,5,  7,  5, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000018, 7,  2,7,  8,  7, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000146, 7,  0,7,  7,  7, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000023, 6,  0,6,  5,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000009, 7,  1,7,  9,  7, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000141, 5,  9,5,  6,  5, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000011, 4,  0,4,  5,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000147, 7,  1,7,  3,  7, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000034, 7,  0,7,  7,  7, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000142, 7,  1,7,  4,  7, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000020, 4,  1,4,  6,  4, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000024, 6,  0,6,  4,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000027, 6,  1,6,  5,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000019, 5,  1,5,  6,  5, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000031, 4,  0,4,  8,  4, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000145, 6,  0,6,  5,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000040, 5,  0,5,  3,  5, 4
bfo.basic-formal-ontology.2.owl.xml, BFO_0000029, 6,  0,6,  5,  6, 4
bfo.basic-formal-ontology.2.owl.xml, BFO_0000016, 6,  0,6,  3,  6, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000003, 3,  0,3,  5,  3, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000140, 6,  0,6,  3,  6, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000006, 6,  1,6,  6,  6, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000144, 5,  0,5,  7,  5, 5
bfo.basic-formal-ontology.2.owl.xml, BFO_0000001, 2,  1,2,  5,  2, 5
bfo.basic-formal-ontology.2.owl.xml, BFO_0000030, 6,  1,6,  6,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000035, 4,  0,4,  5,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000038, 5,  0,5,  5,  5, 5
bfo.basic-formal-ontology.2.owl.xml, BFO_0000015, 4,  0,4,  6,  4, 3
cto.clinical-trials-ontology.1.owl.xml, Sample_size, 9,  102,9,  118,  9, 95
cto.clinical-trials-ontology.1.owl.xml, Non_random_allocation, 10,  21,10,  14,  10, 33
cto.clinical-trials-ontology.1.owl.xml, Percentage_body_weight_gain, 13,  14,13,  19,  13, 26
cto.clinical-trials-ontology.1.owl.xml, Ultrasound, 9,  11,9,  24,  9, 21
cto.clinical-trials-ontology.1.owl.xml, Timing_of_outcome_measurement, 9,  12,9,  18,  9, 36
cto.clinical-trials-ontology.1.owl.xml, Multiple_experimental_unit_allocation_group, 11,  10,11,  14,  11, 24
cto.clinical-trials-ontology.1.owl.xml, Plasma_concentration, 11,  14,11,  12,  11, 17
cto.clinical-trials-ontology.1.owl.xml, Apparent_dose, 11,  13,11,  12,  11, 27
cto.clinical-trials-ontology.1.owl.xml, Expanded_access, 6,  13,6,  13,  6, 25
cto.clinical-trials-ontology.1.owl.xml, Enrolling_by_invitation, 11,  12,11,  15,  11, 15
cto.clinical-trials-ontology.1.owl.xml, Disease_presentation, 9,  8,9,  14,  9, 15
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_study_subject_assessment_or_intervent, 14,  8,14,  9,  14, 11
cto.clinical-trials-ontology.1.owl.xml, ADAS-Cog, 10,  8,10,  10,  10, 17
