filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
cto.clinical-trials-ontology.1.owl.xml, Sample_size, 9,  439,9,  49,  9, 90
cto.clinical-trials-ontology.1.owl.xml, Non_random_allocation, 10,  51,10,  39,  10, 42
cto.clinical-trials-ontology.1.owl.xml, Percentage_body_weight_gain, 13,  92,13,  26,  13, 31
cto.clinical-trials-ontology.1.owl.xml, Ultrasound, 9,  58,9,  29,  9, 37
cto.clinical-trials-ontology.1.owl.xml, Timing_of_outcome_measurement, 9,  106,9,  41,  9, 37
cto.clinical-trials-ontology.1.owl.xml, Multiple_experimental_unit_allocation_group, 11,  80,11,  29,  11, 27
cto.clinical-trials-ontology.1.owl.xml, Plasma_concentration, 11,  88,11,  21,  11, 22
cto.clinical-trials-ontology.1.owl.xml, Apparent_dose, 11,  119,11,  17,  11, 28
cto.clinical-trials-ontology.1.owl.xml, Expanded_access, 6,  92,6,  18,  6, 26
cto.clinical-trials-ontology.1.owl.xml, Enrolling_by_invitation, 11,  132,11,  12,  11, 18
cto.clinical-trials-ontology.1.owl.xml, Disease_presentation, 9,  93,9,  14,  9, 15
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_study_subject_assessment_or_intervent, 14,  106,14,  19,  14, 44
cto.clinical-trials-ontology.1.owl.xml, ADAS-Cog, 10,  99,10,  22,  10, 24
cto.clinical-trials-ontology.1.owl.xml, Psychiatric_symptoms, 11,  110,11,  15,  11, 17
cto.clinical-trials-ontology.1.owl.xml, Hepatic, 12,  100,12,  21,  12, 24
cto.clinical-trials-ontology.1.owl.xml, Randomized_blinded_block, 10,  97,10,  21,  10, 33
cto.clinical-trials-ontology.1.owl.xml, Screening, 11,  99,11,  19,  11, 29
cto.clinical-trials-ontology.1.owl.xml, Registration, 9,  89,9,  17,  9, 17
cto.clinical-trials-ontology.1.owl.xml, Observational_study, 6,  106,6,  20,  6, 17
cto.clinical-trials-ontology.1.owl.xml, Composite_outcome_measure, 10,  163,10,  13,  10, 18
cto.clinical-trials-ontology.1.owl.xml, Radiography, 9,  103,9,  14,  9, 22
cto.clinical-trials-ontology.1.owl.xml, Intervention_model, 10,  15,10,  11,  10, 14
cto.clinical-trials-ontology.1.owl.xml, Assessment_method_specification, 9,  15,9,  10,  9, 20
cto.clinical-trials-ontology.1.owl.xml, Fasted_state, 12,  10,12,  12,  12, 20
cto.clinical-trials-ontology.1.owl.xml, Randomized_to_active_treatment, 10,  21,10,  14,  10, 25
cto.clinical-trials-ontology.1.owl.xml, Triple_blind, 10,  16,10,  19,  10, 19
cto.clinical-trials-ontology.1.owl.xml, Secondary_endpoint_measure, 10,  15,10,  21,  10, 34
cto.clinical-trials-ontology.1.owl.xml, Day, 10,  14,10,  13,  10, 13
cto.clinical-trials-ontology.1.owl.xml, Statistical_concept, 8,  10,8,  10,  8, 22
cto.clinical-trials-ontology.1.owl.xml, Cohort_study_design, 7,  12,7,  12,  7, 16
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_design, 8,  12,8,  12,  8, 16
cto.clinical-trials-ontology.1.owl.xml, Events, 11,  14,11,  13,  11, 19
cto.clinical-trials-ontology.1.owl.xml, Study_Objective, 9,  11,9,  9,  9, 17
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_oversight, 14,  11,14,  9,  14, 12
cto.clinical-trials-ontology.1.owl.xml, Investigator_assigns_intervention, 11,  11,11,  11,  11, 16
cto.clinical-trials-ontology.1.owl.xml, Data_Management_and_Quality_Assurance, 8,  7,8,  12,  8, 12
cto.clinical-trials-ontology.1.owl.xml, Study_phases, 7,  12,7,  12,  7, 18
cto.clinical-trials-ontology.1.owl.xml, Outpatient, 12,  11,12,  11,  12, 20
cto.clinical-trials-ontology.1.owl.xml, Comparator, 9,  11,9,  11,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Evaluated_Result, 8,  10,8,  10,  8, 9
cto.clinical-trials-ontology.1.owl.xml, Hallucination, 12,  10,12,  11,  12, 14
cto.clinical-trials-ontology.1.owl.xml, Last_verified_date, 9,  9,9,  15,  9, 17
cto.clinical-trials-ontology.1.owl.xml, Phase_III, 8,  10,8,  9,  8, 13
cto.clinical-trials-ontology.1.owl.xml, /h, 10,  11,10,  9,  10, 13
cto.clinical-trials-ontology.1.owl.xml, CSF_total_tau_level, 10,  11,10,  9,  10, 9
cto.clinical-trials-ontology.1.owl.xml, Pilot_Trials, 9,  13,9,  7,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Assessment_Scale-cognitive_subscale, 8,  14,8,  8,  8, 21
cto.clinical-trials-ontology.1.owl.xml, Recruitment_criteria, 9,  14,9,  7,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Retrospective_study, 5,  10,5,  7,  5, 14
cto.clinical-trials-ontology.1.owl.xml, Dizziness, 12,  9,12,  9,  12, 12
cto.clinical-trials-ontology.1.owl.xml, Estimated_Enrollment, 9,  8,9,  8,  9, 14
cto.clinical-trials-ontology.1.owl.xml, Primary_purpose, 10,  9,10,  9,  10, 12
cto.clinical-trials-ontology.1.owl.xml, Disease_outcome, 8,  14,8,  9,  8, 13
cto.clinical-trials-ontology.1.owl.xml, Attention_test, 9,  13,9,  8,  9, 16
cto.clinical-trials-ontology.1.owl.xml, Physical_Readouts, 8,  13,8,  6,  8, 12
cto.clinical-trials-ontology.1.owl.xml, 18-69_years, 12,  12,12,  7,  12, 11
cto.clinical-trials-ontology.1.owl.xml, Water_consumption, 11,  10,11,  7,  11, 11
cto.clinical-trials-ontology.1.owl.xml, Temporarily_not_available_for_expanded_access, 11,  10,11,  6,  11, 8
cto.clinical-trials-ontology.1.owl.xml, Cognitive_tests, 9,  10,9,  8,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Crossover_study_design, 7,  8,7,  6,  7, 8
cto.clinical-trials-ontology.1.owl.xml, Statistical_significance, 9,  11,9,  6,  9, 9
cto.clinical-trials-ontology.1.owl.xml, CSF, 10,  11,10,  10,  10, 11
cto.clinical-trials-ontology.1.owl.xml, Treatment, 11,  12,11,  7,  11, 12
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_study_laboratory_processing, 14,  11,14,  8,  14, 10
cto.clinical-trials-ontology.1.owl.xml, Friedreich's_ataxia, 10,  10,10,  5,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Placebo_comparator, 10,  7,10,  5,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Uncontrolled, 11,  11,11,  6,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Renal, 12,  10,12,  9,  12, 11
cto.clinical-trials-ontology.1.owl.xml, Safety_of_the_treatment, 11,  10,11,  7,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Recruitment_active, 11,  10,11,  10,  11, 13
cto.clinical-trials-ontology.1.owl.xml, N-of-1_clinical_trial, 8,  10,8,  6,  8, 7
cto.clinical-trials-ontology.1.owl.xml, Cross-over_design, 9,  9,9,  7,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Diagnostic, 11,  10,11,  8,  11, 10
cto.clinical-trials-ontology.1.owl.xml, Exploratory_Clinical_Trials, 9,  9,9,  7,  9, 7
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform, 13,  9,13,  7,  13, 8
cto.clinical-trials-ontology.1.owl.xml, Epworth_Sleepiness_Scale, 8,  10,8,  7,  8, 12
cto.clinical-trials-ontology.1.owl.xml, Urine, 12,  15,12,  7,  12, 11
cto.clinical-trials-ontology.1.owl.xml, CSF_concentrations, 11,  8,11,  7,  11, 12
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_operation, 8,  9,8,  6,  8, 12
cto.clinical-trials-ontology.1.owl.xml, CSF_Alpha_beta_42_level, 10,  7,10,  10,  10, 8
cto.clinical-trials-ontology.1.owl.xml, Food_effect, 11,  7,11,  6,  11, 12
cto.clinical-trials-ontology.1.owl.xml, Pregnancy, 11,  10,11,  5,  11, 11
cto.clinical-trials-ontology.1.owl.xml, Baseline_characteristics, 8,  11,8,  7,  8, 13
cto.clinical-trials-ontology.1.owl.xml, Bio-alvailability_study, 8,  9,8,  9,  8, 11
cto.clinical-trials-ontology.1.owl.xml, Control, 10,  11,10,  7,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Case-crossover_study_design, 7,  12,7,  8,  7, 12
cto.clinical-trials-ontology.1.owl.xml, Surrogate_outcome_measure, 10,  8,10,  6,  10, 9
cto.clinical-trials-ontology.1.owl.xml, Randomized_control_trial, 8,  9,8,  5,  8, 10
cto.clinical-trials-ontology.1.owl.xml, Clinical_event, 12,  9,12,  5,  12, 11
