filename, concept, elCounter, elELapsedTimeInMilliseconds, elkCounter, elkELapsedTimeInMilliseconds, hermitCounter, hermitELapsedTimeInMilliseconds
bfo.basic-formal-ontology.2.owl.xml, BFO_0000002, 3,  60,3,  180,  3, 72
bfo.basic-formal-ontology.2.owl.xml, BFO_0000182, 5,  2,5,  12,  5, 13
bfo.basic-formal-ontology.2.owl.xml, BFO_0000026, 7,  1,7,  9,  7, 11
bfo.basic-formal-ontology.2.owl.xml, BFO_0000008, 4,  1,4,  17,  4, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000148, 5,  1,5,  6,  5, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000028, 7,  1,7,  10,  7, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000004, 4,  0,4,  10,  4, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000017, 5,  1,5,  10,  5, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000018, 7,  0,7,  7,  7, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000146, 7,  0,7,  7,  7, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000023, 6,  0,6,  5,  6, 9
bfo.basic-formal-ontology.2.owl.xml, BFO_0000009, 7,  8,7,  9,  7, 11
bfo.basic-formal-ontology.2.owl.xml, BFO_0000141, 5,  0,5,  6,  5, 11
bfo.basic-formal-ontology.2.owl.xml, BFO_0000011, 4,  2,4,  6,  4, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000147, 7,  3,7,  6,  7, 16
bfo.basic-formal-ontology.2.owl.xml, BFO_0000034, 7,  1,7,  9,  7, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000142, 7,  2,7,  10,  7, 13
bfo.basic-formal-ontology.2.owl.xml, BFO_0000020, 4,  5,4,  7,  4, 4
bfo.basic-formal-ontology.2.owl.xml, BFO_0000024, 6,  0,6,  7,  6, 4
bfo.basic-formal-ontology.2.owl.xml, BFO_0000027, 6,  0,6,  7,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000019, 5,  0,5,  7,  5, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000031, 4,  0,4,  2,  4, 2
bfo.basic-formal-ontology.2.owl.xml, BFO_0000145, 6,  0,6,  2,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000040, 5,  0,5,  2,  5, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000029, 6,  0,6,  2,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000016, 6,  0,6,  2,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000003, 3,  0,3,  19,  3, 12
bfo.basic-formal-ontology.2.owl.xml, BFO_0000140, 6,  0,6,  15,  6, 7
bfo.basic-formal-ontology.2.owl.xml, BFO_0000006, 6,  1,6,  12,  6, 3
bfo.basic-formal-ontology.2.owl.xml, BFO_0000144, 5,  0,5,  14,  5, 5
bfo.basic-formal-ontology.2.owl.xml, BFO_0000001, 2,  0,2,  9,  2, 10
bfo.basic-formal-ontology.2.owl.xml, BFO_0000030, 6,  1,6,  13,  6, 23
bfo.basic-formal-ontology.2.owl.xml, BFO_0000035, 4,  1,4,  4,  4, 6
bfo.basic-formal-ontology.2.owl.xml, BFO_0000038, 5,  0,5,  3,  5, 8
bfo.basic-formal-ontology.2.owl.xml, BFO_0000015, 4,  0,4,  9,  4, 8
cto.clinical-trials-ontology.1.owl.xml, Sample_size, 9,  130,9,  113,  9, 91
cto.clinical-trials-ontology.1.owl.xml, Non_random_allocation, 10,  18,10,  21,  10, 26
cto.clinical-trials-ontology.1.owl.xml, Percentage_body_weight_gain, 13,  17,13,  19,  13, 31
cto.clinical-trials-ontology.1.owl.xml, Ultrasound, 9,  13,9,  19,  9, 32
cto.clinical-trials-ontology.1.owl.xml, Timing_of_outcome_measurement, 9,  33,9,  19,  9, 42
cto.clinical-trials-ontology.1.owl.xml, Multiple_experimental_unit_allocation_group, 11,  16,11,  18,  11, 27
cto.clinical-trials-ontology.1.owl.xml, Plasma_concentration, 11,  71,11,  25,  11, 27
cto.clinical-trials-ontology.1.owl.xml, Apparent_dose, 11,  23,11,  18,  11, 19
cto.clinical-trials-ontology.1.owl.xml, Expanded_access, 6,  12,6,  10,  6, 24
cto.clinical-trials-ontology.1.owl.xml, Enrolling_by_invitation, 11,  14,11,  13,  11, 25
cto.clinical-trials-ontology.1.owl.xml, Disease_presentation, 9,  22,9,  16,  9, 27
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_study_subject_assessment_or_intervent, 14,  10,14,  9,  14, 13
cto.clinical-trials-ontology.1.owl.xml, ADAS-Cog, 10,  17,10,  11,  10, 11
cto.clinical-trials-ontology.1.owl.xml, Psychiatric_symptoms, 11,  13,11,  15,  11, 20
cto.clinical-trials-ontology.1.owl.xml, Hepatic, 12,  20,12,  11,  12, 14
cto.clinical-trials-ontology.1.owl.xml, Randomized_blinded_block, 10,  10,10,  11,  10, 17
cto.clinical-trials-ontology.1.owl.xml, Screening, 11,  25,11,  27,  11, 16
cto.clinical-trials-ontology.1.owl.xml, Registration, 9,  20,9,  11,  9, 21
cto.clinical-trials-ontology.1.owl.xml, Observational_study, 6,  16,6,  15,  6, 28
cto.clinical-trials-ontology.1.owl.xml, Composite_outcome_measure, 10,  12,10,  12,  10, 16
cto.clinical-trials-ontology.1.owl.xml, Radiography, 9,  13,9,  13,  9, 22
cto.clinical-trials-ontology.1.owl.xml, Intervention_model, 10,  16,10,  16,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Assessment_method_specification, 9,  17,9,  14,  9, 13
cto.clinical-trials-ontology.1.owl.xml, Fasted_state, 12,  21,12,  7,  12, 19
cto.clinical-trials-ontology.1.owl.xml, Randomized_to_active_treatment, 10,  17,10,  8,  10, 10
cto.clinical-trials-ontology.1.owl.xml, Triple_blind, 10,  9,10,  11,  10, 36
cto.clinical-trials-ontology.1.owl.xml, Secondary_endpoint_measure, 10,  99,10,  11,  10, 13
cto.clinical-trials-ontology.1.owl.xml, Day, 10,  12,10,  8,  10, 18
cto.clinical-trials-ontology.1.owl.xml, Statistical_concept, 8,  11,8,  4,  8, 16
cto.clinical-trials-ontology.1.owl.xml, Cohort_study_design, 7,  16,7,  7,  7, 13
cto.clinical-trials-ontology.1.owl.xml, Clinical_trial_design, 8,  11,8,  8,  8, 9
cto.clinical-trials-ontology.1.owl.xml, Events, 11,  10,11,  8,  11, 15
cto.clinical-trials-ontology.1.owl.xml, Study_Objective, 9,  11,9,  9,  9, 13
cto.clinical-trials-ontology.1.owl.xml, Agreement_to_perform_oversight, 14,  13,14,  11,  14, 12
cto.clinical-trials-ontology.1.owl.xml, Investigator_assigns_intervention, 11,  10,11,  11,  11, 9
cto.clinical-trials-ontology.1.owl.xml, Data_Management_and_Quality_Assurance, 8,  7,8,  4,  8, 8
cto.clinical-trials-ontology.1.owl.xml, Study_phases, 7,  8,7,  4,  7, 7
cto.clinical-trials-ontology.1.owl.xml, Outpatient, 12,  7,12,  4,  12, 18
cto.clinical-trials-ontology.1.owl.xml, Comparator, 9,  16,9,  12,  9, 17
cto.clinical-trials-ontology.1.owl.xml, Evaluated_Result, 8,  15,8,  10,  8, 14
cto.clinical-trials-ontology.1.owl.xml, Hallucination, 12,  14,12,  12,  12, 13
cto.clinical-trials-ontology.1.owl.xml, Last_verified_date, 9,  18,9,  11,  9, 15
cto.clinical-trials-ontology.1.owl.xml, Phase_III, 8,  11,8,  7,  8, 10
cto.clinical-trials-ontology.1.owl.xml, /h, 10,  10,10,  9,  10, 8
cto.clinical-trials-ontology.1.owl.xml, CSF_total_tau_level, 10,  13,10,  7,  10, 13
cto.clinical-trials-ontology.1.owl.xml, Pilot_Trials, 9,  14,9,  8,  9, 27
cto.clinical-trials-ontology.1.owl.xml, Assessment_Scale-cognitive_subscale, 8,  18,8,  8,  8, 15
cto.clinical-trials-ontology.1.owl.xml, Recruitment_criteria, 9,  15,9,  10,  9, 13
cto.clinical-trials-ontology.1.owl.xml, Retrospective_study, 5,  12,5,  6,  5, 15
cto.clinical-trials-ontology.1.owl.xml, Dizziness, 12,  18,12,  9,  12, 11
cto.clinical-trials-ontology.1.owl.xml, Estimated_Enrollment, 9,  12,9,  9,  9, 10
cto.clinical-trials-ontology.1.owl.xml, Primary_purpose, 10,  11,10,  11,  10, 12
cto.clinical-trials-ontology.1.owl.xml, Disease_outcome, 8,  18,8,  8,  8, 13
cto.clinical-trials-ontology.1.owl.xml, Attention_test, 9,  8,9,  5,  9, 8
cto.clinical-trials-ontology.1.owl.xml, Physical_Readouts, 8,  10,8,  6,  8, 8
cto.clinical-trials-ontology.1.owl.xml, 18-69_years, 12,  9,12,  9,  12, 13
cto.clinical-trials-ontology.1.owl.xml, Water_consumption, 11,  12,11,  6,  11, 11
cto.clinical-trials-ontology.1.owl.xml, Temporarily_not_available_for_expanded_access, 11,  10,11,  8,  11, 11
